 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
* Block 156 <=== 65	USER>>AF342704.1/1-133	  133   [+0+] AF342704.1/1-133 Trichobranchus sp. W24401 small nuclear RNA T2, partial sequence.
* Block 157 <=== 66	USER>>AF185218.1/1-133	  133   [+0+] AF185218.1/1-133 Eurythoe sp. AMW4444 T2 small nuclear RNA, partial sequence.
* Block 158 <=== 81	USER>>AF185216.1/1-133	  133   [+0+] AF185216.1/1-133 Nephtys australiensis T2 small nuclear RNA, partial sequence.
* Block 159 <=== 78	USER>>AF185215.1/1-133	  133   [+0+] AF185215.1/1-133 Glycera tridactyla T2 small nuclear RNA, partial sequence.
* Block 160 <=== 179	USER>>AF185206.1/1-133	  133   [+0+] AF185206.1/1-133 Amphitritinae sp. AMW24400 T2 small nuclear RNA, partial sequence.
* Block 161 <=== 76	USER>>AF342710.1/1-133	  133   [+0+] AF342710.1/1-133 Loimia ingens small nuclear RNA T2, partial sequence.
* Block 162 <=== 63	USER>>AF185208.1/1-133	  133   [+0+] AF185208.1/1-133 Pista australis T2 small nuclear RNA, partial sequence.
* Block 163 <=== 84	USER>>AF342707.1/1-133	  133   [+0+] AF342707.1/1-133 Rhinothelepus lobatus small nuclear RNA T2, partial sequence.
* Block 164 <=== 53	USER>>AF185207.1/1-133	  133   [+1+] AF185207.1/1-133 Amphitritides harpa T2 small nuclear RNA, partial sequence.
* Block 165 <=== 64	USER>>AF185222.1/1-133	  133   [+0+] AF185222.1/1-133 Euclymene trinalis T2 small nuclear RNA, partial sequence.
* Block 166 <=== 74	USER>>AF185226.1/1-133	  133   [+0+] AF185226.1/1-133 Phylo felix T2 small nuclear RNA, partial sequence.
* Block 167 <=== 79	USER>>AF185227.1/1-133	  133   [+0+] AF185227.1/1-133 Scoloplos simplex T2 small nuclear RNA, partial sequence.
* Block 168 <=== 470	USER>>ABAV01051754.1/906-779	  128   [+0+] ABAV01051754.1/906-779 Nematostella vectensis strain CH2 x CH6 NEMVEscaffold_6664_Cont51754, whole genome shotgun sequence.
* Block 169 <=== 217	USER>>AAGJ04138292.1/867-731	  137   [+0+] AAGJ04138292.1/867-731 Strongylocentrotus purpuratus Contig138334, whole genome shotgun sequence.
* Block 170 <=== 229	USER>>AF110891.1/1-132	  132   [+0+] AF110891.1/1-132 Archisotoma sp. T2 snRNA gene, partial sequence.
* Block 171 <=== 596	USER>>ABNP01026751.1/1-97	   97   [+0+] ABNP01026751.1/1-97 Coral metagenome 40471773, whole genome shotgun sequence.
* Block 172 <=== 532	USER>>AY296871.1/1-123	  123   [+0+] AY296871.1/1-123 Hedleyoconcha delta voucher QM M06068 T2 snRNA gene, partial sequence.
* Block 173 <=== 465	USER>>ABNT01058821.1/1-95	   95   [+0+] ABNT01058821.1/1-95 Coral metagenome 39921383, whole genome shotgun sequence.
* Block 174 <=== 416	USER>>AY859729.1/1-96	   96   [+0+] AY859729.1/1-96 Notocrater houbricki T2 snRNA gene, partial sequence.
* Block 175 <=== 362	USER>>AY296869.1/1-127	  127   [+0+] AY296869.1/1-127 Onchidium sp. C203228 T2 snRNA gene, partial sequence.
* Block 176 <=== 297	USER>>AY296852.1/1-129	  129   [+0+] AY296852.1/1-129 Trichomya hirsuta voucher C203203 T2 snRNA gene, partial sequence.
* Block 177 <=== 48	USER>>AF185214.1/1-132	  132   [+1+] AF185214.1/1-132 Sigalion bandaensis T2 small nuclear RNA, partial sequence.
* Block 178 <=== 243	USER>>AF370824.1/1-130	  130   [+0+] AF370824.1/1-130 Daphnia sp. GG-2001 T2 small nuclear RNA, complete sequence.
* Block 179 <=== 244	USER>>AF370825.1/1-125	  125   [+0+] AF370825.1/1-125 Balanus balanus T2 small nuclear RNA, complete sequence.
* Block 180 <=== 49	USER>>AY296855.1/1-129	  129   [+0+] AY296855.1/1-129 Cellana tramoserica voucher C203204 T2 snRNA gene, partial sequence.
* Block 181 <=== 165	USER>>AF110886.1/1-132	  132   [+0+] AF110886.1/1-132 Hanseniella sp. AM-1999 T2 snRNA gene, partial sequence.
* Block 182 <=== 299	USER>>AF110903.1/1-131	  131   [+0+] AF110903.1/1-131 Ammothella biunguiculata T2 snRNA gene, partial sequence.
* Block 183 <=== 237	USER>>AF110898.1/1-131	  131   [+0+] AF110898.1/1-131 Triops australiensis T2 snRNA gene, partial sequence.
* Block 184 <=== 245	USER>>AF110894.1/1-132	  132   [+0+] AF110894.1/1-132 Atalophlebia sp. T2 snRNA gene, partial sequence.
* Block 185 <=== 246	USER>>AF110900.1/1-131	  131   [+1+] AF110900.1/1-131 Branchinella sp. 3 T2 snRNA gene, partial sequence.
* Block 186 <=== 236	USER>>AF110906.1/1-131	  131   [+0+] AF110906.1/1-131 Atrax sp. EBT-1999 T2 snRNA gene, partial sequence.
* Block 187 <=== 417	USER>>AY296854.1/1-129	  129   [+0+] AY296854.1/1-129 Nautilus scrobiculatus voucher TSNM 885678 T2 snRNA gene, partial sequence.
* Block 188 <=== 186	USER>>AF110884.1/1-132	  132   [+0+] AF110884.1/1-132 Allothereua maculata T2 snRNA gene, partial sequence.
* Block 189 <=== 326	USER>>AF185217.1/1-135	  135   [+0+] AF185217.1/1-135 Ceratonereis longiceratophora T2 small nuclear RNA, partial sequence.
* Block 190 <=== 171	USER>>AF185230.1/1-133	  133   [+0+] AF185230.1/1-133 Sipuncula sp. 105045 T2 small nuclear RNA, partial sequence.
* Block 191 <=== 327	USER>>AY296868.1/1-128	  128   [+0+] AY296868.1/1-128 Philippea lutea voucher C203225 T2 snRNA gene, partial sequence.
* Block 192 <=== 169	USER>>AF110901.1/1-132	  132   [+0+] AF110901.1/1-132 Kempina mikado T2 snRNA gene, partial sequence.
* Block 193 <=== 238	USER>>AF370826.1/1-132	  132   [+0+] AF370826.1/1-132 Homarus americanus T2 small nuclear RNA, complete sequence.
* Block 194 <=== 168	USER>>AF110897.1/1-132	  132   [+0+] AF110897.1/1-132 Nebalia sp. T2 snRNA gene, partial sequence.
* Block 195 <=== 183	USER>>AF185229.1/1-133	  133   [+0+] AF185229.1/1-133 Bonellia sp. T2 small nuclear RNA, partial sequence.
* Block 196 <=== 178	USER>>AF185198.1/1-133	  133   [+0+] AF185198.1/1-133 Amphiglena terebro T2 small nuclear RNA, partial sequence.
* Block 197 <=== 93	USER>>AF185223.1/1-133	  133   [+0+] AF185223.1/1-133 Mediomastus australiensis T2 small nuclear RNA, partial sequence.
* Block 198 <=== 85	USER>>AY583723.1/1-132	  132   [+0+] AY583723.1/1-132 Hyboscolex sp. AMEBT14762 T2 snRNA gene, partial sequence.
* Block 199 <=== 87	USER>>AF185201.1/1-133	  133   [+0+] AF185201.1/1-133 Lamellibrachia satsuma T2 small nuclear RNA, partial sequence.
* Block 200 <=== 67	USER>>AF185209.1/1-133	  133   [+0+] AF185209.1/1-133 Fauveliopsis banyuls T2 small nuclear RNA, partial sequence.
* Block 201 <=== 88	USER>>AF185203.1/1-133	  133   [+0+] AF185203.1/1-133 Dodecaceria sp. AMW23009 T2 small nuclear RNA, partial sequence.
* Block 202 <=== 91	USER>>AF185204.1/1-133	  133   [+0+] AF185204.1/1-133 Cirratulus sp. AMW24391 T2 small nuclear RNA, partial sequence.
* Block 203 <=== 89	USER>>AF185197.1/1-133	  133   [+0+] AF185197.1/1-133 Idanthyrsus pennatus T2 small nuclear RNA, partial sequence.
* Block 204 <=== 77	USER>>AF185220.1/1-133	  133   [+0+] AF185220.1/1-133 Marphysa macintoshi T2 small nuclear RNA, partial sequence.
* Block 205 <=== 90	USER>>AF185219.1/1-133	  133   [+0+] AF185219.1/1-133 Lumbrineris latreilli T2 small nuclear RNA, partial sequence.
* Block 206 <=== 86	USER>>AF185210.1/1-133	  133   [+0+] AF185210.1/1-133 Sternaspis sp. T2 small nuclear RNA, partial sequence.
* Block 207 <=== 184	USER>>AF185221.1/1-133	  133   [+0+] AF185221.1/1-133 Eunice australis T2 small nuclear RNA, partial sequence.
* Block 208 <=== 68	USER>>AF185228.1/1-133	  133   [+0+] AF185228.1/1-133 Lumbricus terrestris T2 small nuclear RNA, partial sequence.
* Block 209 <=== 82	USER>>AF185225.1/1-133	  133   [+0+] AF185225.1/1-133 Polyophthalmus pictus T2 small nuclear RNA, partial sequence.
* Block 210 <=== 92	USER>>AF185224.1/1-133	  133   [+0+] AF185224.1/1-133 Notomastus torquatus T2 small nuclear RNA, partial sequence.
* Block 211 <=== 185	USER>>AY296861.1/1-129	  129   [+0+] AY296861.1/1-129 Depressigyra globulus T2 snRNA gene, partial sequence.
* Block 212 <=== 239	USER>>AY296858.1/1-129	  129   [+0+] AY296858.1/1-129 Perotrochus midas voucher TSNM 888645 T2 snRNA gene, partial sequence.
* Block 213 <=== 240	USER>>AY296859.1/1-127	  127   [+0+] AY296859.1/1-127 Austrocochlea porcata voucher C203207 T2 snRNA gene, partial sequence.
* Block 214 <=== 235	USER>>AY296867.1/1-129	  129   [+0+] AY296867.1/1-129 Cornirostra pellucida voucher C203224 T2 snRNA gene, partial sequence.
* Block 215 <=== 241	USER>>AY296870.1/1-129	  129   [+0+] AY296870.1/1-129 Aplysia cf. juliana voucher C203227 T2 snRNA gene, partial sequence.
* Block 216 <=== 170	USER>>AY296872.1/1-129	  129   [+0+] AY296872.1/1-129 Siphonaria denticulata T2 snRNA gene, partial sequence.
* Block 217 <=== 234	USER>>ET289836.1/1-128	  128   [+0+] ET289836.1/1-128 Cancellaria undulata voucher C.203222 T2 snRNA gene, partial sequence.
* Block 218 <=== 224	USER>>BAAB01033680.1/64-193	  130   [+2+] BAAB01033680.1/64-193 Bombyx mori DNA, contig177000.
* Block 219 <=== 223	USER>>FR850190.1/1-131	  131   [+0+] FR850190.1/1-131 Triaenobunus armstrongi ncRNA for T2 snRNA, bio-material MCZ:DNA100328
* Block 220 <=== 195	USER>>FR850193.1/1-131	  131   [+0+] FR850193.1/1-131 Fumontana deprehendor ncRNA for T2 snRNA, bio-material MCZ:DNA100700
* Block 221 <=== 120	USER>>FJ475968.1/1-131	  131   [+0+] FJ475968.1/1-131 Equitius doriae voucher MCZ DNA100607 T2 snRNA gene, partial sequence.
* Block 222 <=== 97	USER>>FR850169.1/1-131	  131   [+0+] FR850169.1/1-131 Conomma oedipus ncRNA for T2 snRNA, bio-material MCZ:DNA101551
* Block 223 <=== 189	USER>>FR850168.1/1-131	  131   [+0+] FR850168.1/1-131 Bishopella laciniosa ncRNA for T2 snRNA, bio-material MCZ:DNA100324
* Block 224 <=== 98	USER>>FR850181.1/1-131	  131   [+4+] FR850181.1/1-131 Minuella sp. DNA101388 ncRNA for T2 snRNA, bio-material MCZ:DNA101388
* Block 225 <=== 111	USER>>FR850176.1/1-131	  131   [+1+] FR850176.1/1-131 Lomanius sp. DNA104934 ncRNA for T2 snRNA, bio-material MCZ:DNA104934
* Block 226 <=== 194	USER>>FR850185.1/1-131	  131   [+0+] FR850185.1/1-131 Santobius sp. DNA104931 ncRNA for T2 snRNA, bio-material MCZ:DNA104931
* Block 227 <=== 117	USER>>FR850170.1/1-131	  131   [+0+] FR850170.1/1-131 Fissiphallius chicoi ncRNA for T2 snRNA, bio-material MCZ:DNA101551
* Block 228 <=== 112	USER>>FR850179.1/1-131	  131   [+0+] FR850179.1/1-131 Metabiantes sp. DNA100335 ncRNA for T2 snRNA, bio-material MCZ:DNA100335
* Block 229 <=== 99	USER>>FJ475985.1/1-131	  131   [+1+] FJ475985.1/1-131 Sandokan doriae voucher MCZ DNA102598 T2 snRNA gene, partial sequence.
* Block 230 <=== 115	USER>>FJ475974.1/1-131	  131   [+0+] FJ475974.1/1-131 Gnomulus latoperculum voucher MCZ DNA102028 T2 snRNA gene, partial sequence.
* Block 231 <=== 105	USER>>FJ475975.1/1-131	  131   [+0+] FJ475975.1/1-131 Gnomulus latoperculum voucher MCZ DNA102029 T2 snRNA gene, partial sequence.
* Block 232 <=== 116	USER>>FJ475982.1/1-131	  131   [+0+] FJ475982.1/1-131 Caenoncopus sp. PS-2009 voucher MCZ DNA102595 T2 snRNA gene, partial sequence.
* Block 233 <=== 107	USER>>FJ475977.1/1-131	  131   [+0+] FJ475977.1/1-131 Gnomulus armillatus voucher MCZ DNA102589 T2 snRNA gene, partial sequence.
* Block 234 <=== 101	USER>>FJ475976.1/1-131	  131   [+0+] FJ475976.1/1-131 Gnomulus sp. 1 PS-2009 voucher MCZ DNA102587 T2 snRNA gene, partial sequence.
* Block 235 <=== 108	USER>>FR850175.1/1-131	  131   [+0+] FR850175.1/1-131 Larifuga capensis ncRNA for T2 snRNA, bio-material MCZ:DNA100727
* Block 236 <=== 110	USER>>FJ475986.1/1-131	  131   [+0+] FJ475986.1/1-131 Sandokan truncatus voucher MCZ DNA101099 T2 snRNA gene, partial sequence.
* Block 237 <=== 102	USER>>FJ475979.1/1-131	  131   [+1+] FJ475979.1/1-131 Caenoncopus affinis voucher MCZ DNA102591 T2 snRNA gene, partial sequence.
* Block 238 <=== 103	USER>>FR850180.1/1-131	  131   [+0+] FR850180.1/1-131 Metalibitia paraguayensis ncRNA for T2 snRNA, bio-material MCZ:DNA100476
* Block 239 <=== 100	USER>>FJ475970.1/1-131	  131   [+0+] FJ475970.1/1-131 Glysterus sp. PS-2009 voucher MCZ DNA101422 T2 snRNA gene, partial sequence.
* Block 240 <=== 109	USER>>FR850171.1/1-131	  131   [+0+] FR850171.1/1-131 Acutisoma longipes ncRNA for T2 snRNA, bio-material MCZ:DNA101112
* Block 241 <=== 192	USER>>FR850194.1/1-131	  131   [+0+] FR850194.1/1-131 Kimula goodnightiorum ncRNA for T2 snRNA, bio-material MCZ:DNA105837
* Block 242 <=== 190	USER>>FJ475984.1/1-131	  131   [+1+] FJ475984.1/1-131 Palaeoncopus gunung voucher MCZ DNA102596-2 T2 snRNA gene, partial sequence.
* Block 243 <=== 106	USER>>FR850184.1/1-131	  131   [+0+] FR850184.1/1-131 Samoidae sp. DNA101116 ncRNA for T2 snRNA, bio-material MCZ:DNA101116
* Block 244 <=== 95	USER>>FJ475967.1/1-131	  131   [+0+] FJ475967.1/1-131 Peltonychia clavigera voucher MCZ DNA101459 T2 snRNA gene, partial sequence.
* Block 245 <=== 104	USER>>AF110904.1/1-131	  131   [+0+] AF110904.1/1-131 Equitius sp. T2 snRNA gene, partial sequence.
* Block 246 <=== 113	USER>>FR850166.1/1-131	  131   [+0+] FR850166.1/1-131 Stygnopsis sp. DNA104856 ncRNA for T2 snRNA, bio-material MCZ:DNA104856
* Block 247 <=== 118	USER>>FR850165.1/1-131	  131   [+0+] FR850165.1/1-131 Stygnopsis sp. DNA104855 ncRNA for T2 snRNA, bio-material MCZ:DNA104855
* Block 248 <=== 119	USER>>FR850189.1/1-131	  131   [+0+] FR850189.1/1-131 Tithaeus kokutnus ncRNA for T2 snRNA, bio-material MCZ:DNA104072
* Block 249 <=== 121	USER>>FR850174.1/1-131	  131   [+0+] FR850174.1/1-131 Icaleptes sp. DNA101420 ncRNA for T2 snRNA, bio-material MCZ:DNA101420
* Block 250 <=== 114	USER>>FR850192.1/1-131	  131   [+0+] FR850192.1/1-131 Zygopachylus sp. DNA101425 ncRNA for T2 snRNA, bio-material MCZ:DNA101425
* Block 251 <=== 191	USER>>FR850173.1/1-131	  131   [+0+] FR850173.1/1-131 Hoplobunus sp. DNA100327 ncRNA for T2 snRNA, bio-material MCZ:DNA100327
* Block 252 <=== 122	USER>>FJ475972.1/1-131	  131   [+0+] FJ475972.1/1-131 Ethobunus zalmoxiformis voucher MCZ DNA101424 T2 snRNA gene, partial sequence.
* Block 253 <=== 187	USER>>FR850167.1/1-131	  131   [+0+] FR850167.1/1-131 Baculigerus sp. PS-2011 ncRNA for T2 snRNA, bio-material MCZ:DNA100640
* Block 254 <=== 188	USER>>FR850178.1/1-131	  131   [+0+] FR850178.1/1-131 Megapachylus grandis ncRNA for T2 snRNA, bio-material MCZ:DNA101113
* Block 255 <=== 193	USER>>FR850183.1/1-131	  131   [+0+] FR850183.1/1-131 Pellobunus insularis ncRNA for T2 snRNA, bio-material MCZ:DNA101421
* Block 256 <=== 123	USER>>FR850195.1/1-130	  130   [+0+] FR850195.1/1-130 Seuthes inermis ncRNA for T2 snRNA, bio-material MCZ:DNA100765
* Block 257 <=== 124	USER>>FR850172.1/1-131	  131   [+0+] FR850172.1/1-131 Heterocranaus sp. DNA101443 ncRNA for T2 snRNA, bio-material MCZ:DNA101443
* Block 258 <=== 226	USER>>FR850182.1/1-131	  131   [+0+] FR850182.1/1-131 Pyramidops sp. DNA101432 ncRNA for T2 snRNA, bio-material MCZ:DNA101432
* Block 259 <=== 222	USER>>FJ475987.1/1-131	  131   [+0+] FJ475987.1/1-131 Gnomulus rostratus voucher MCZ DNA101102 T2 snRNA gene, partial sequence.
* Block 260 <=== 232	USER>>FJ475980.1/1-131	  131   [+0+] FJ475980.1/1-131 Gnomulus sp. 2 PS-2009 voucher MCZ DNA102592 T2 snRNA gene, partial sequence.
* Block 261 <=== 301	USER>>FJ475981.1/1-131	  131   [+0+] FJ475981.1/1-131 Caenoncopus sp. PS-2009 voucher MCZ DNA102593 T2 snRNA gene, partial sequence.
* Block 262 <=== 128	USER>>AGQN01073175.1/4673-4794	  122   [+0+] AGQN01073175.1/4673-4794 Cannabis sativa strain Purple Kush scaffold12276_7, whole genome shotgun sequence.
* Block 263 <=== 145	USER>>AFNC01007786.1/4703-4800	   98   [+0+] AFNC01007786.1/4703-4800 Arabidopsis thaliana ecotype Kro-0, whole genome shotgun sequence.
* Block 264 <=== 159	USER>>BABK01073648.1/942-1037	   96   [+0+] BABK01073648.1/942-1037 Lotus japonicus DNA, contig: LjSGA_106136.
* Block 265 <=== 201	USER>>AGFK01175367.1/86-1	   86   [+0+] AGFK01175367.1/86-1 Solanum pimpinellifolium contig_6589487, whole genome shotgun sequence.
* Block 266 <=== 282	USER>>AENI01004500.1/30544-30447	   98   [+0+] AENI01004500.1/30544-30447 Brassica rapa Chr5_775, whole genome shotgun sequence.
* Block 267 <=== 266	USER>>ACTP01004672.1/246907-246771	  137   [+0+] ACTP01004672.1/246907-246771 Glycine max chromosome 8 GLYMAchr_08_Cont4672, whole genome shotgun sequence.
* Block 268 <=== 156	USER>>AFSA01061435.1/3397-3508	  112   [+0+] AFSA01061435.1/3397-3508 Lactuca sativa, whole genome shotgun sequence.
* Block 269 <=== 254	USER>>ACTP01006255.1/305044-304920	  125   [+0+] ACTP01006255.1/305044-304920 Glycine max chromosome 10 GLYMAchr_10_Cont6255, whole genome shotgun sequence.
* Block 270 <=== 252	USER>>AM429339.2/902-775	  128   [+0+] AM429339.2/902-775 Vitis vinifera contig VV78X039731.4, whole genome shotgun sequence.
* Block 271 <=== 253	USER>>AALT01028648.1/1201-1317	  117   [+0+] AALT01028648.1/1201-1317 Sorex araneus cont1.028647, whole genome shotgun sequence.
* Block 272 <=== 281	USER>>AEYP01002039.1/15232-15335	  104   [+0+] AEYP01002039.1/15232-15335 Mustela putorius furo contig002039, whole genome shotgun sequence.
* Block 273 <=== 157	USER>>AAWZ02010340.1/69642-69519	  124   [+0+] AAWZ02010340.1/69642-69519 Anolis carolinensis chromosome 2 cont2.10339, whole genome shotgun sequence.
* Block 274 <=== 289	USER>>ET957398.1/1-93	   93   [+0+] ET957398.1/1-93 Zea mays clone 1590838 hypothetical protein mRNA, complete cds.
* Block 275 <=== 290	USER>>ABRT010917533.1/221-115	  107   [+0+] ABRT010917533.1/221-115 Tarsius syrichta cont1.917532, whole genome shotgun sequence.
* Block 276 <=== 251	USER>>ABNT01062833.1/88-1	   88   [+1+] ABNT01062833.1/88-1 Coral metagenome 39946289, whole genome shotgun sequence.
* Block 277 <=== 325	USER>>ABNT01063067.1/87-1	   87   [+1+] ABNT01063067.1/87-1 Coral metagenome 39677874, whole genome shotgun sequence.
* Block 278 <=== 249	USER>>ABNS01053040.1/91-1	   91   [+0+] ABNS01053040.1/91-1 Coral metagenome 39480723, whole genome shotgun sequence.
* Block 279 <=== 258	USER>>ABNV01059303.1/1-91	   91   [+0+] ABNV01059303.1/1-91 Coral metagenome 39858964, whole genome shotgun sequence.
* Block 280 <=== 248	USER>>ABMO01248635.1/1-93	   93   [+0+] ABMO01248635.1/1-93 Coral metagenome 34791402, whole genome shotgun sequence.
* Block 281 <=== 306	USER>>ABNS01054766.1/87-1	   87   [+0+] ABNS01054766.1/87-1 Coral metagenome 39598552, whole genome shotgun sequence.
* Block 282 <=== 250	USER>>ABNL01035870.1/88-1	   88   [+0+] ABNL01035870.1/88-1 Coral metagenome 39346778, whole genome shotgun sequence.
* Block 283 <=== 280	USER>>X00381.1/21-117	   97   [+0+] X00381.1/21-117 Human pseudogene for T2 small nuclear RNA
* Block 284 <=== 278	USER>>ABGA01062835.1/25064-24930	  135   [+0+] ABGA01062835.1/25064-24930 Pongo abelii chromosome 4 P_pygmaeus2.0.2_Contig1539.54, whole genome shotgun sequence.
* Block 285 <=== 277	USER>>AEKQ01017669.1/2067-1944	  124   [+0+] AEKQ01017669.1/2067-1944 Mus musculus strain C57BL/6J cont1.17668, whole genome shotgun sequence.
* Block 286 <=== 268	USER>>AAHY01095697.1/2051-1928	  124   [+1+] AAHY01095697.1/2051-1928 Mus musculus strain 129X1/SvJ chromosome 11 CRA_211000022059166, whole genome shotgun sequence.
* Block 287 <=== 336	USER>>AASC02023315.1/5464-5551	   88   [+0+] AASC02023315.1/5464-5551 Aplysia californica cont2.23314, whole genome shotgun sequence.
* Block 288 <=== 285	USER>>ACJG01004691.1/5298-5419	  122   [+1+] ACJG01004691.1/5298-5419 Daphnia pulex DAPPTscaffold_109_Cont4691, whole genome shotgun sequence.
* Block 289 <=== 337	USER>>CAAE01025669.1/133-19	  115   [+0+] CAAE01025669.1/133-19 Tetraodon nigroviridis chromosome undetermined SCAF25669, whole genome shotgun sequence.
* Block 290 <=== 284	USER>>ACFV01045772.1/2672-2555	  118   [+0+] ACFV01045772.1/2672-2555 Callithrix jacchus Contig51.581, whole genome shotgun sequence.
* Block 291 <=== 279	USER>>CABD02278929.1/3220-3101	  120   [+1+] CABD02278929.1/3220-3101 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr4_120529681_3430.1
* Block 292 <=== 256	USER>>AC149080.14/20625-20518	  108   [+1+] AC149080.14/20625-20518 Medicago truncatula clone mth2-75j5, complete sequence.
* Block 293 <=== 257	USER>>AGTP01015722.1/2733-2619	  115   [+0+] AGTP01015722.1/2733-2619 Spermophilus tridecemlineatus contig015722, whole genome shotgun sequence.
* Block 294 <=== 335	USER>>AEYP01014378.1/16670-16787	  118   [+0+] AEYP01014378.1/16670-16787 Mustela putorius furo contig014378, whole genome shotgun sequence.
* Block 295 <=== 342	USER>>ACFV01142111.1/9844-9952	  109   [+0+] ACFV01142111.1/9844-9952 Callithrix jacchus Contig454.74, whole genome shotgun sequence.
* Block 296 <=== 271	USER>>AACN010318956.1/942-831	  112   [+1+] AACN010318956.1/942-831 Canis familiaris ctg19866850995460, whole genome shotgun sequence.
* Block 297 <=== 264	USER>>AGCE01141018.1/6416-6310	  107   [+0+] AGCE01141018.1/6416-6310 Saimiri boliviensis boliviensis contig141018, whole genome shotgun sequence.
* Block 298 <=== 270	USER>>DAAA02031880.1/135027-134925	  103   [+1+] DAAA02031880.1/135027-134925 TPA: Bos taurus chromosome 11 7180001730211, whole genome shotgun sequence.
* Block 299 <=== 273	USER>>AEYP01004599.1/3971-3870	  102   [+0+] AEYP01004599.1/3971-3870 Mustela putorius furo contig004599, whole genome shotgun sequence.
* Block 300 <=== 263	USER>>AC120391.6/134842-134941	  100   [+4+] AC120391.6/134842-134941 Mus musculus chromosome 1, clone RP24-310B3, complete sequence.
* Block 301 <=== 276	USER>>AAPE02040428.1/50093-49997	   97   [+0+] AAPE02040428.1/50093-49997 Myotis lucifugus cont2.40427, whole genome shotgun sequence.
* Block 302 <=== 272	USER>>AFSB01048596.1/3759-3637	  123   [+0+] AFSB01048596.1/3759-3637 Heterocephalus glaber contig48596, whole genome shotgun sequence.
